n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
80,0.1933644416930799,0.5283077624005316,0.6549522358144216,0.3188152551896614,29.112554284732184,17.657037152058052,2.7628906741662824,0.9846358161304112,80,-3.540551982110368,70.0,,,19.61361258476973,68.13743382878602,267.1436297670007,22850,0.011691187298337,0.9221240556010358,0.0778759443989642,0.032438308998284,0.967561691001716,15.583500067680784,19.999999999999996,2,54,1609.6524069309237
90,0.1903740642561607,0.5302663167887708,0.6549522358144216,0.3138847832925685,32.27605447714333,19.57572968180425,2.1424721256855204,0.8369582710719138,90,-3.482849974437949,80.0,,,20.98448248114437,45.22977396380156,309.14273705426604,26998,0.0114505791930611,0.8389171921827027,0.1610828078172973,0.0264026649406834,0.9735973350593166,9.822079193213098,20.00000000000001,2,54,1609.6524069309237
100,0.1903740642561607,0.5302663167887708,0.6549522358144216,0.3138847832925685,35.41490231006902,21.479470324365863,2.1424721256855204,0.8369582710719138,100,-3.482849974437949,90.0,,,22.53450134769082,81.5906880851835,386.70473341457546,32527,0.0118887303905855,0.8442514939911882,0.1557485060088119,0.01638077524508,0.98361922475492,10.934717183975533,20.000000000000004,2,54,1609.6524069309237
110,0.1833730142783109,0.534851670124812,0.6549522358144216,0.3023415982284469,38.496034217674094,23.348205717038223,1.4646479949469993,0.8436023217620587,110,-3.482849974437949,100.0,,,24.409057767130435,67.61445157695562,450.2263930914924,37818,0.0119050820532945,0.864506053892468,0.135493946107532,0.0165594740506058,0.9834405259493942,7.420091810654051,20.000000000000004,2,54,1609.6524069309237
120,0.1833730142783109,0.534851670124812,0.6549522358144216,0.3023415982284469,41.51945019995856,25.18193585982133,1.4646479949469993,1.1440000705255695,120,-3.482849974437949,110.0,,,26.94676897116005,93.07077058590949,539.2930768122897,43429,0.0124178101455776,0.865474843555333,0.1345251564446669,0.0103902291524882,0.9896097708475118,6.814833515739199,20.00000000000001,2,54,1609.6524069309237
130,0.1826324558662062,0.5353367005125712,0.6549522358144216,0.3011205809769257,44.53676109598543,27.011963210543914,1.4234122429737124,1.2094549610844292,130,-3.482849974437949,120.0,,,28.34013821836561,60.8844507271424,596.2542008077726,48699,0.0122436641575344,0.7709711677171436,0.2290288322828564,0.0103916028878078,0.9896083971121922,6.0702318223923175,20.000000000000004,2,54,1609.6524069309237
140,0.1715620539160426,0.5425872850211951,0.6549522358144216,0.2828679333241809,47.45670366749096,28.78293575945516,1.302913669073046,1.1749524374335378,140,-3.482849974437949,130.0,,,31.805331449955705,77.44139874447137,669.5938622141257,54024,0.0123943777249764,0.7425887077529211,0.2574112922470788,0.0103404730537646,0.9896595269462354,5.82779273847583,20.000000000000004,2,54,1609.6524069309237
150,0.1699531836531737,0.5436410181969965,0.6549522358144216,0.2802152616181917,50.27211964220282,30.490511947301243,1.1332708784146128,1.1956901803665545,150,-3.482849974437949,140.0,,,34.76476635411382,65.6018326068297,731.1746231913567,59225,0.0123457091294446,0.7789028750028508,0.2210971249971491,0.0103352674367867,0.9896647325632132,5.475913818550733,19.999999999999996,2,54,1609.6524069309237
160,0.1659994613230556,0.5462305174768968,0.6549522358144216,0.2736964467699767,53.041678184143656,32.17027517218239,1.1186066255306284,1.2723365010174894,160,-3.482849974437949,150.0,,,34.24952398426831,78.47537751216441,805.596612627618,64762,0.0124393411665423,0.8250321809335119,0.174967819066488,0.0103866185582435,0.9896133814417564,5.143887379582387,20.000000000000004,2,54,1609.6524069309237
170,0.1656447231540356,0.5464628540338251,0.6549522358144216,0.2731115618816727,55.7757182274019,33.828496094567846,0.9900887392497872,1.230708759679593,170,-3.482849974437949,160.0,,,37.08819794282317,35.48580207210034,838.263840069063,68077,0.0123134662230865,0.8144336567031706,0.1855663432968295,0.0104028859244518,0.9895971140755482,5.585494979744407,20.000000000000004,2,54,1609.6524069309237
180,0.1627001876206995,0.5483913841648186,0.6549522358144216,0.2682566731583073,58.4825594026018,35.470220648441526,1.0476339800379475,1.2703280658392744,180,-3.482849974437949,170.0,,,41.47420482616872,52.723221369087696,887.5006214613095,72215,0.0122896991132217,0.8736074202824001,0.1263925797175998,0.0123146049908819,0.987685395009118,6.638168119613291,20.000000000000004,2,54,1609.6524069309237
190,0.1627001876206995,0.5483913841648186,0.6549522358144216,0.2682566731583073,61.16512613418488,37.09722252464852,1.0476339800379475,1.2703280658392744,190,-3.482849974437949,180.0,,,41.99165719375014,108.08103820495307,991.5467357952148,77954,0.012719638963943,0.8420694333619029,0.1579305666380971,0.0104193460907198,0.98958065390928,6.92947520739976,19.999999999999982,2,54,1609.6524069309237
200,0.1627001876206995,0.5483913841648186,0.6549522358144216,0.2682566731583073,63.84769286576795,38.72422440085552,1.0476339800379475,1.2703280658392744,200,-3.482849974437949,190.0,,,44.00637395679951,74.2323722904548,1061.7524639368055,83224,0.0127577677585408,0.8588345550967041,0.1411654449032958,0.0103092841021156,0.9896907158978844,7.068711278096069,20.000000000000004,2,54,1609.6524069309237
30,0.4998181270855287,0.3275952359791779,0.6549522358144216,1.0,0.0,0.0,3.299570298603057,0.7067994283854259,30,-3.491220255252267,,,,,,0.0,0,,,,,,,,3,55,1586.699107170105
40,0.2326190375962759,0.5025978770477417,0.6549522358144216,0.4654073651803954,7.327036825901977,3.662185823409023,2.8837893042279106,0.7554357102665797,40,-3.491220255252267,30.0,,,13.507636279799044,40.14395701792091,37.59389722440392,2721,0.0138162062566717,0.99009900990099,0.0099009900990098,0.028057283675127,0.971942716324873,6.963951690206597,19.999999999999996,3,55,1586.699107170105
50,0.2319289717360514,0.5030498372257549,0.6549522358144216,0.4640267312601167,11.974207308104535,5.9849258700706605,2.796893457079729,0.6717032945410726,50,-3.491220255252267,40.0,,,14.83423865865916,66.64105157274753,100.32795903459191,7946,0.0126262218769936,0.99009900990099,0.0099009900990099,0.0273555691919202,0.9726444308080798,6.936313667052058,19.999999999999996,3,55,1586.699107170105
60,0.231542311052454,0.5033030815049786,0.6549522358144216,0.4632531284981438,16.61060660689584,8.302282284013188,2.0405349837221127,0.7069463177165346,60,-3.491220255252267,50.0,,,15.943920085206628,40.22067055758089,137.2436397029087,12083,0.0113584076556243,0.9216226796702308,0.0783773203297691,0.0274050411312875,0.9725949588687124,14.433514252898563,19.99999999999996,3,55,1586.699107170105
