n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
140,0.2299665305061557,0.5043351424969296,0.6549522358144216,0.445853974013443,69.20342732017383,35.694359605451105,1.4553281245367518,1.061649839970525,140,-8.031272261366043,130.0,,,30.384372823871672,86.865896737203,683.8618264021352,54574,0.0125309089750088,6.840937612519436,20.000000000000004,5,57,1599.4272291660309
150,0.2299665305061557,0.5043351424969296,0.6549522358144216,0.445853974013443,73.66196706030826,37.99402491051266,1.4553281245367518,1.061649839970525,150,-8.031272261366043,140.0,,,32.78885973803699,24.85397175420076,706.3864665720612,56894,0.012415834122615,3.316287990136261,20.000000000000004,5,57,1599.4272291660309
160,0.2164879826695167,0.5131629475380679,0.6549522358144216,0.4197220664542474,77.9898472626467,40.22629747639103,1.4180015561900108,1.1146232042100706,160,-8.031272261366043,150.0,,,33.9895799709484,85.72462750878185,788.1154857324436,62185,0.0126737233373392,3.3427670915437333,20.000000000000004,5,57,1599.4272291660309
170,0.2164879826695167,0.5131629475380679,0.6549522358144216,0.4197220664542474,82.18706792718918,42.3911773030862,1.4180015561900108,1.1146232042100706,170,-8.031272261366043,160.0,,,34.59813846088946,56.37943054642528,840.6204633852467,67091,0.0125295563247715,2.8687962021162505,20.000000000000004,5,57,1599.4272291660309
180,0.2164879826695167,0.5131629475380679,0.6549522358144216,0.4197220664542474,86.38428859173165,44.556057129781365,1.4180015561900108,1.1146232042100706,180,-8.031272261366043,170.0,,,39.18587232660502,25.256446404382583,863.4858413664624,69411,0.0124401873098855,2.7407213647923103,20.000000000000004,5,57,1599.4272291660309
190,0.2164879826695167,0.5131629475380679,0.6549522358144216,0.4197220664542474,90.58150925627412,46.720936956476535,1.4180015561900108,1.1146232042100706,190,-8.031272261366043,180.0,,,41.52611365634948,109.41355276107788,968.8100271159784,75287,0.0128682246219928,2.2218355840678106,20.000000000000004,5,57,1599.4272291660309
200,0.2164879826695167,0.5131629475380679,0.6549522358144216,0.4197220664542474,94.7787299208166,48.885816783171705,1.4180015561900108,1.1146232042100706,200,-8.031272261366043,190.0,,,41.89237408619374,117.305737035349,1082.036791360937,81250,0.013317375893673,5.575446225598824,19.999999999999996,5,57,1599.4272291660309
30,0.6211987190983436,0.2480967458559066,0.6549522358144216,1.0,0.0,0.0,3.995619725057795,0.5901130125719013,30,-3.6379424351679095,,,,,,0.0,0,,,,6,58,1568.955507516861
40,0.5939369030380591,0.2659519332369514,0.6549522358144216,0.9561141785677628,9.780570892838814,6.075678110682014,3.97849091696322,0.7604054415544481,40,-3.6379424351679095,30.0,,,12.171566722914577,68.11748599261045,64.13406044617295,4978,0.0128834994869772,11.289425647559558,19.999999999999982,6,58,1568.955507516861
50,0.4313441121994579,0.3724424451239999,0.6549522358144216,0.6943737952736678,18.03301076204597,11.2020831868696,3.6504515787451033,0.8252076964439455,50,-3.6379424351679095,40.0,,,12.914881424978375,51.41240906622261,112.00819840654732,9344,0.0119871787678239,7.973692826056903,20.000000000000004,6,58,1568.955507516861
