n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.wloa_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.f1_mass.graph_0.wloa_semantic_type,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
120,0.1662413463124714,0.5460720943622689,0.6549522358144216,0.2805267349590128,44.8616225040859,26.585189906875573,0.9421087264006286,0.9910000769743318,120,-3.5063750287813837,110.0,,,10.375615515280517,157.92966017173603,631.4871341418475,36342,0.0173762350487548,0.0068496164467211,0.5587300247324061,0.4344203588208729,0.1695655069395346,0.8287388379910701,0.0016956550693953,6.0,7.0,6.0,7.0,7,59,1565.092884540558
130,0.1419633820643276,0.5619730013276133,0.6549522358144216,0.2395584789080661,47.4620485734213,28.12621354875957,1.0763252651282642,0.9405194195049058,130,-3.5063750287813837,120.0,,,12.446944357827306,47.1287911599502,675.863678295631,39416,0.0171469372411109,0.1599216365249503,0.5398828647170455,0.3001954987580042,0.1512541816369164,0.8472332765467144,0.0015125418163691,6.0,7.0,6.0,7.0,7,59,1565.092884540558
140,0.1418632561032958,0.5620385790496542,0.6549522358144216,0.2393895196836858,49.85678856638006,29.545346739597687,1.026053710490769,1.0852662544765717,140,-3.5063750287813837,130.0,,,11.054302683100104,73.65896044718102,747.031806122046,42263,0.0176757874765645,0.1481791777414767,0.5110708582833763,0.3407499639751469,0.1664367087420795,0.8318989241704997,0.0016643670874207,6.0,7.0,6.0,7.0,7,59,1565.092884540558
150,0.1375579507438336,0.5648583484206977,0.6549522358144216,0.2321244602849166,52.21435846622308,30.94245277383333,0.7719523992625376,1.0398377112066557,150,-3.5063750287813837,140.0,,,11.394588715862485,93.0803541969508,836.2048344220966,47390,0.017645174813718,0.0057212702924935,0.5523228332877006,0.4419558964198057,0.1650463505993606,0.833303186516037,0.0016504628846024,6.0,7.0,6.0,7.0,7,59,1565.092884540558
160,0.1372994852829522,0.5650276309521828,0.6549522358144216,0.2316883084282994,54.53342230978915,32.316739953967264,0.7104182855880489,1.0442563233632778,160,-3.5063750287813837,150.0,,,11.745426355861127,73.085763130337,906.2305222311988,51099,0.0177347995505039,0.0082212478960365,0.2939893026067335,0.6977894494972301,0.1826151606377716,0.8155586877558506,0.0018261516063777,6.0,7.0,6.0,7.0,7,59,1565.092884540558
170,0.1353905465315765,0.5662778946554291,0.6549522358144216,0.2284670378657186,56.83419904125924,33.680190113039906,0.8019128855490529,1.037102327916515,170,-3.5063750287813837,160.0,,,12.001828348264098,87.01471827086061,990.5139198419638,54401,0.0182076417683859,0.0081145354463234,0.2967582765931225,0.6951271879605542,0.1855477225385234,0.8125968002360914,0.0018554772253852,6.0,7.0,6.0,7.0,7,59,1565.092884540558
180,0.1349455668858613,0.5665693350692822,0.6549522358144216,0.227716149534358,59.115114978259626,35.03187068012709,0.8019128855490529,1.0207766173550554,180,-3.5063750287813837,170.0,,,12.510858159977944,99.6485985168256,1086.174023820553,59595,0.0182259253934147,0.0081234908954016,0.2953198145473621,0.6965566945572362,0.1857491385626812,0.812393370051692,0.0018574913856268,6.0,7.0,6.0,7.0,7,59,1565.092884540558
190,0.1329160819263208,0.567898550781085,0.6549522358144216,0.2242914612604902,61.37515303223387,36.371178924188,0.7809808291374604,0.9485906250444855,190,-3.5063750287813837,180.0,,,14.779940417967737,125.10938055813313,1207.285067035351,64931,0.0185933539763033,0.0081240323651663,0.3009513229384623,0.6909246446963713,0.1785698916219835,0.8196444094617967,0.0017856989162198,6.0,7.0,6.0,7.0,7,59,1565.092884540558
200,0.1322381392726306,0.5683425708378733,0.6549522358144216,0.2231474556123906,63.61234761659827,37.69695003018276,0.7593893258525902,0.9539823364401738,200,-3.5063750287813837,190.0,,,13.491132996976376,106.84039413323626,1311.2861211681738,68354,0.0191837510777448,0.0081887639968777,0.3097828659399095,0.6820283700632128,0.1846071120184846,0.8135468168613306,0.0018460711201848,6.0,7.0,6.0,7.0,7,59,1565.092884540558
30,0.5632590143199012,0.2860444850429749,0.6549522358144216,1.0,0.0,0.0,4.085500083610081,0.8101876922333573,30,-3.43081945303746,,,,,,0.0,0,,,,,,,,,,,,8,60,1598.011259317398
